date,ticker,name,price
2006-02-17,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.18
2006-02-21,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.19
2006-02-22,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.17
2006-02-23,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.21
2006-02-24,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.23
2006-02-27,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.24
2006-02-28,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.23
2006-03-01,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.25
2006-03-02,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.31
2006-03-03,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.29
2006-03-06,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.29
2006-03-07,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.29
2006-03-08,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.31
2006-03-09,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.36
2006-03-10,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.39
2006-03-13,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.41
2006-03-14,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.37
2006-03-15,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.39
2006-03-16,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.35
2006-03-17,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.39
2006-03-20,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.37
2006-03-21,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.37
2006-03-22,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.36
2006-03-23,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.4
2006-03-24,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.41
2006-03-27,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.41
2006-03-28,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.46
2006-03-29,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.49
2006-03-30,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.5
2006-03-31,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.49
2006-04-03,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.54
2006-04-04,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.54
2006-04-05,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.56
2006-04-06,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.57
2006-04-07,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.56
2006-04-10,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.55
2006-04-11,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.53
2006-04-12,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.54
2006-04-13,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.62
2006-04-17,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.62
2006-04-18,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.62
2006-04-19,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.63
2006-04-20,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.63
2006-04-21,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.65
2006-04-24,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.67
2006-04-25,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.71
2006-04-26,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.73
2006-04-27,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.72
2006-04-28,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.71
2006-05-01,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.71
2006-05-02,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.71
2006-05-03,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.77
2006-05-04,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.77
2006-05-05,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.74
2006-05-08,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.74
2006-05-09,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.77
2006-05-10,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,2.78
