date,ticker,name,price
2006-02-17,GS-US,"Goldman Sachs Group, Inc.",145.54
2006-02-17,CAT-US,Caterpillar Inc.,72.05
2006-02-17,MSFT-US,Microsoft Corporation,26.7
2006-02-17,HD-US,"Home Depot, Inc.",41.86
2006-02-17,SHW-US,Sherwin-Williams Company,17.56
2006-02-17,AMGN-US,Amgen Inc.,74.89
2006-02-17,AXP-US,American Express Company,54.45
2006-02-17,MCD-US,McDonald's Corporation,36.06
2006-02-17,JPM-US,JPMorgan Chase & Co.,40.78
2006-02-17,TRV-US,"Travelers Companies, Inc.",43.03
2006-02-17,UNH-US,UnitedHealth Group Incorporated,58.0
2006-02-17,IBM-US,International Business Machines Corporation,77.09
2006-02-17,AAPL-US,Apple Inc.,2.51
2006-02-17,JNJ-US,Johnson & Johnson,59.07
2006-02-17,BA-US,Boeing Company,72.96
2006-02-17,HON-US,Honeywell International Inc.,37.83
2006-02-17,AMZN-US,"Amazon.com, Inc.",1.96
2006-02-17,CRM-US,"Salesforce, Inc.",8.59
2006-02-17,CVX-US,Chevron Corporation,57.17
2006-02-17,NVDA-US,NVIDIA Corporation,0.4
2006-02-17,MMM-US,3M Company,61.68
2006-02-17,PG-US,Procter & Gamble Company,61.0
2006-02-17,WMT-US,Walmart Inc.,15.37
2006-02-17,MRK-US,"Merck & Co., Inc.",34.37
2006-02-17,DIS-US,Walt Disney Company,26.55
2006-02-17,KO-US,Coca-Cola Company,20.9
2006-02-17,CSCO-US,"Cisco Systems, Inc.",19.86
2006-02-17,NKE-US,"NIKE, Inc. Class B",10.61
2006-02-17,VZ-US,Verizon Communications Inc.,31.17
2006-02-21,GS-US,"Goldman Sachs Group, Inc.",143.45
2006-02-21,CAT-US,Caterpillar Inc.,72.59
2006-02-21,MSFT-US,Microsoft Corporation,26.54
2006-02-21,HD-US,"Home Depot, Inc.",41.87
2006-02-21,SHW-US,Sherwin-Williams Company,17.52
2006-02-21,AMGN-US,Amgen Inc.,74.53
2006-02-21,AXP-US,American Express Company,53.86
2006-02-21,MCD-US,McDonald's Corporation,35.66
2006-02-21,JPM-US,JPMorgan Chase & Co.,40.7
2006-02-21,TRV-US,"Travelers Companies, Inc.",42.77
2006-02-21,UNH-US,UnitedHealth Group Incorporated,58.17
2006-02-21,IBM-US,International Business Machines Corporation,76.89
2006-02-21,AAPL-US,Apple Inc.,2.47
2006-02-21,JNJ-US,Johnson & Johnson,59.14
2006-02-21,BA-US,Boeing Company,73.05
2006-02-21,HON-US,Honeywell International Inc.,37.15
2006-02-21,AMZN-US,"Amazon.com, Inc.",1.91
2006-02-21,CRM-US,"Salesforce, Inc.",8.4
2006-02-21,CVX-US,Chevron Corporation,57.9
