date,ticker,name,price
2006-02-17,SMI,SMI (Price Return),7917.1
2006-02-17,EURO50,EuroStoxx 50  (Price Return),3767.7
2006-02-17,DJIA,Dow Jones Industrial Average Index  (Price Return),11115.0
2006-02-17,NIKKEI,Nikkei 225 (Price Return),15713.5
2006-02-17,DAX,DAX (Total Return),5795.5
2006-02-20,SMI,SMI (Price Return),7917.1
2006-02-20,EURO50,EuroStoxx 50  (Price Return),3766.7
2006-02-20,DJIA,Dow Jones Industrial Average Index  (Price Return),11115.0
2006-02-20,NIKKEI,Nikkei 225 (Price Return),15437.9
2006-02-20,DAX,DAX (Total Return),5794.0
2006-02-21,SMI,SMI (Price Return),8002.6
2006-02-21,EURO50,EuroStoxx 50  (Price Return),3779.5
2006-02-21,DJIA,Dow Jones Industrial Average Index  (Price Return),11069.0
2006-02-21,NIKKEI,Nikkei 225 (Price Return),15894.9
2006-02-21,DAX,DAX (Total Return),5801.0
2006-02-22,SMI,SMI (Price Return),8040.5
2006-02-22,EURO50,EuroStoxx 50  (Price Return),3818.5
2006-02-22,DJIA,Dow Jones Industrial Average Index  (Price Return),11137.0
2006-02-22,NIKKEI,Nikkei 225 (Price Return),15781.8
2006-02-22,DAX,DAX (Total Return),5862.1
2006-02-23,SMI,SMI (Price Return),7983.8
2006-02-23,EURO50,EuroStoxx 50  (Price Return),3813.3
2006-02-23,DJIA,Dow Jones Industrial Average Index  (Price Return),11069.0
2006-02-23,NIKKEI,Nikkei 225 (Price Return),16096.1
2006-02-23,DAX,DAX (Total Return),5857.9
2006-02-24,SMI,SMI (Price Return),7954.3
2006-02-24,EURO50,EuroStoxx 50  (Price Return),3826.0
2006-02-24,DJIA,Dow Jones Industrial Average Index  (Price Return),11062.0
2006-02-24,NIKKEI,Nikkei 225 (Price Return),16101.9
2006-02-24,DAX,DAX (Total Return),5870.8
2006-02-27,SMI,SMI (Price Return),7995.1
2006-02-27,EURO50,EuroStoxx 50  (Price Return),3840.6
2006-02-27,DJIA,Dow Jones Industrial Average Index  (Price Return),11098.0
2006-02-27,NIKKEI,Nikkei 225 (Price Return),16193.0
2006-02-27,DAX,DAX (Total Return),5915.2
2006-02-28,SMI,SMI (Price Return),7892.6
2006-02-28,EURO50,EuroStoxx 50  (Price Return),3774.5
2006-02-28,DJIA,Dow Jones Industrial Average Index  (Price Return),10993.0
2006-02-28,NIKKEI,Nikkei 225 (Price Return),16205.4
2006-02-28,DAX,DAX (Total Return),5796.0
2006-03-01,SMI,SMI (Price Return),7980.4
2006-03-01,EURO50,EuroStoxx 50  (Price Return),3806.0
2006-03-01,DJIA,Dow Jones Industrial Average Index  (Price Return),11054.0
2006-03-01,NIKKEI,Nikkei 225 (Price Return),15964.5
2006-03-01,DAX,DAX (Total Return),5866.6
2006-03-02,SMI,SMI (Price Return),7926.2
2006-03-02,EURO50,EuroStoxx 50  (Price Return),3763.7
2006-03-02,DJIA,Dow Jones Industrial Average Index  (Price Return),11026.0
2006-03-02,NIKKEI,Nikkei 225 (Price Return),15909.8
2006-03-02,DAX,DAX (Total Return),5783.5
2006-03-03,SMI,SMI (Price Return),7916.0
2006-03-03,EURO50,EuroStoxx 50  (Price Return),3734.0
2006-03-03,DJIA,Dow Jones Industrial Average Index  (Price Return),11022.0
2006-03-03,NIKKEI,Nikkei 225 (Price Return),15663.3
2006-03-03,DAX,DAX (Total Return),5721.5
2006-03-06,SMI,SMI (Price Return),7917.2
2006-03-06,EURO50,EuroStoxx 50  (Price Return),3754.1
2006-03-06,DJIA,Dow Jones Industrial Average Index  (Price Return),10959.0
2006-03-06,NIKKEI,Nikkei 225 (Price Return),15901.2
