date,ticker,name,price
2006-02-17,USDCHF,USDCHF,1.31
2006-02-17,EURCHF,EURCHF,1.56
2006-02-20,USDCHF,USDCHF,1.31
2006-02-20,EURCHF,EURCHF,1.56
2006-02-21,USDCHF,USDCHF,1.31
2006-02-21,EURCHF,EURCHF,1.56
2006-02-22,USDCHF,USDCHF,1.31
2006-02-22,EURCHF,EURCHF,1.56
2006-02-23,USDCHF,USDCHF,1.31
2006-02-23,EURCHF,EURCHF,1.56
2006-02-24,USDCHF,USDCHF,1.32
2006-02-24,EURCHF,EURCHF,1.56
2006-02-27,USDCHF,USDCHF,1.32
2006-02-27,EURCHF,EURCHF,1.57
2006-02-28,USDCHF,USDCHF,1.31
2006-02-28,EURCHF,EURCHF,1.56
2006-03-01,USDCHF,USDCHF,1.31
2006-03-01,EURCHF,EURCHF,1.56
2006-03-02,USDCHF,USDCHF,1.31
2006-03-02,EURCHF,EURCHF,1.57
2006-03-03,USDCHF,USDCHF,1.3
2006-03-03,EURCHF,EURCHF,1.56
2006-03-06,USDCHF,USDCHF,1.3
2006-03-06,EURCHF,EURCHF,1.56
2006-03-07,USDCHF,USDCHF,1.31
2006-03-07,EURCHF,EURCHF,1.56
2006-03-08,USDCHF,USDCHF,1.31
2006-03-08,EURCHF,EURCHF,1.56
2006-03-09,USDCHF,USDCHF,1.31
2006-03-09,EURCHF,EURCHF,1.57
2006-03-10,USDCHF,USDCHF,1.32
2006-03-10,EURCHF,EURCHF,1.57
2006-03-13,USDCHF,USDCHF,1.32
2006-03-13,EURCHF,EURCHF,1.57
2006-03-14,USDCHF,USDCHF,1.3
2006-03-14,EURCHF,EURCHF,1.57
2006-03-15,USDCHF,USDCHF,1.3
2006-03-15,EURCHF,EURCHF,1.57
2006-03-16,USDCHF,USDCHF,1.29
2006-03-16,EURCHF,EURCHF,1.57
2006-03-17,USDCHF,USDCHF,1.29
2006-03-17,EURCHF,EURCHF,1.57
2006-03-20,USDCHF,USDCHF,1.29
2006-03-20,EURCHF,EURCHF,1.57
2006-03-21,USDCHF,USDCHF,1.3
2006-03-21,EURCHF,EURCHF,1.57
2006-03-22,USDCHF,USDCHF,1.3
2006-03-22,EURCHF,EURCHF,1.57
2006-03-23,USDCHF,USDCHF,1.32
2006-03-23,EURCHF,EURCHF,1.58
2006-03-24,USDCHF,USDCHF,1.31
2006-03-24,EURCHF,EURCHF,1.58
2006-03-27,USDCHF,USDCHF,1.31
2006-03-27,EURCHF,EURCHF,1.57
2006-03-28,USDCHF,USDCHF,1.3
2006-03-28,EURCHF,EURCHF,1.57
2006-03-29,USDCHF,USDCHF,1.31
2006-03-29,EURCHF,EURCHF,1.57
2006-03-30,USDCHF,USDCHF,1.3
2006-03-30,EURCHF,EURCHF,1.58
2006-03-31,USDCHF,USDCHF,1.31
2006-03-31,EURCHF,EURCHF,1.58
