date,ticker,name,price
2006-02-17,GOLD-USD,Gold (USD),551.8
2006-02-17,GOLD-CHF,Gold (CHF),723.85
2006-02-21,GOLD-USD,Gold (USD),553.9
2006-02-21,GOLD-CHF,Gold (CHF),725.39
2006-02-22,GOLD-USD,Gold (USD),553.9
2006-02-22,GOLD-CHF,Gold (CHF),728.27
2006-02-23,GOLD-USD,Gold (USD),548.4
2006-02-23,GOLD-CHF,Gold (CHF),717.61
2006-02-24,GOLD-USD,Gold (USD),558.8
2006-02-24,GOLD-CHF,Gold (CHF),736.05
2006-02-27,GOLD-USD,Gold (USD),554.7
2006-02-27,GOLD-CHF,Gold (CHF),732.48
2006-02-28,GOLD-USD,Gold (USD),561.6
2006-02-28,GOLD-CHF,Gold (CHF),736.62
2006-03-01,GOLD-USD,Gold (USD),563.5
2006-03-01,GOLD-CHF,Gold (CHF),738.72
2006-03-02,GOLD-USD,Gold (USD),568.2
2006-03-02,GOLD-CHF,Gold (CHF),742.44
2006-03-03,GOLD-USD,Gold (USD),566.0
2006-03-03,GOLD-CHF,Gold (CHF),736.62
2006-03-06,GOLD-USD,Gold (USD),554.9
2006-03-06,GOLD-CHF,Gold (CHF),721.09
2006-03-07,GOLD-USD,Gold (USD),552.7
2006-03-07,GOLD-CHF,Gold (CHF),725.64
2006-03-08,GOLD-USD,Gold (USD),542.5
2006-03-08,GOLD-CHF,Gold (CHF),710.21
2006-03-09,GOLD-USD,Gold (USD),545.5
2006-03-09,GOLD-CHF,Gold (CHF),716.19
2006-03-10,GOLD-USD,Gold (USD),539.9
2006-03-10,GOLD-CHF,Gold (CHF),712.88
2006-03-13,GOLD-USD,Gold (USD),546.1
2006-03-13,GOLD-CHF,Gold (CHF),718.64
2006-03-14,GOLD-USD,Gold (USD),551.7
2006-03-14,GOLD-CHF,Gold (CHF),718.7
2006-03-15,GOLD-USD,Gold (USD),553.1
2006-03-15,GOLD-CHF,Gold (CHF),719.89
2006-03-16,GOLD-USD,Gold (USD),554.4
2006-03-16,GOLD-CHF,Gold (CHF),716.78
2006-03-17,GOLD-USD,Gold (USD),554.1
2006-03-17,GOLD-CHF,Gold (CHF),716.17
2006-03-20,GOLD-USD,Gold (USD),555.2
2006-03-20,GOLD-CHF,Gold (CHF),716.46
2006-03-21,GOLD-USD,Gold (USD),552.4
2006-03-21,GOLD-CHF,Gold (CHF),719.28
2006-03-22,GOLD-USD,Gold (USD),550.9
2006-03-22,GOLD-CHF,Gold (CHF),717.66
2006-03-23,GOLD-USD,Gold (USD),550.1
2006-03-23,GOLD-CHF,Gold (CHF),724.29
2006-03-24,GOLD-USD,Gold (USD),560.0
2006-03-24,GOLD-CHF,Gold (CHF),734.69
2006-03-27,GOLD-USD,Gold (USD),567.0
2006-03-27,GOLD-CHF,Gold (CHF),741.75
2006-03-28,GOLD-USD,Gold (USD),566.6
2006-03-28,GOLD-CHF,Gold (CHF),736.78
2006-03-29,GOLD-USD,Gold (USD),573.0
2006-03-29,GOLD-CHF,Gold (CHF),751.58
2006-03-30,GOLD-USD,Gold (USD),586.7
2006-03-30,GOLD-CHF,Gold (CHF),761.68
2006-03-31,GOLD-USD,Gold (USD),581.8
2006-03-31,GOLD-CHF,Gold (CHF),760.33
2006-04-03,GOLD-USD,Gold (USD),589.4
2006-04-03,GOLD-CHF,Gold (CHF),769.64
2006-04-04,GOLD-USD,Gold (USD),586.0
2006-04-04,GOLD-CHF,Gold (CHF),755.56
2006-04-05,GOLD-USD,Gold (USD),587.9
2006-04-05,GOLD-CHF,Gold (CHF),756.16
2006-04-06,GOLD-USD,Gold (USD),595.2
2006-04-06,GOLD-CHF,Gold (CHF),767.36
2006-04-07,GOLD-USD,Gold (USD),588.4
2006-04-07,GOLD-CHF,Gold (CHF),765.98
2006-04-10,GOLD-USD,Gold (USD),597.6
2006-04-10,GOLD-CHF,Gold (CHF),778.34
2006-04-11,GOLD-USD,Gold (USD),595.2
2006-04-11,GOLD-CHF,Gold (CHF),773.46
2006-04-12,GOLD-USD,Gold (USD),597.5
2006-04-12,GOLD-CHF,Gold (CHF),776.48
2006-04-13,GOLD-USD,Gold (USD),596.5
2006-04-13,GOLD-CHF,Gold (CHF),775.54
2006-04-17,GOLD-USD,Gold (USD),615.4
2006-04-17,GOLD-CHF,Gold (CHF),785.84
2006-04-18,GOLD-USD,Gold (USD),620.0
2006-04-18,GOLD-CHF,Gold (CHF),790.22
2006-04-19,GOLD-USD,Gold (USD),632.6
2006-04-19,GOLD-CHF,Gold (CHF),804.16
2006-04-20,GOLD-USD,Gold (USD),619.8
2006-04-20,GOLD-CHF,Gold (CHF),793.07
2006-04-21,GOLD-USD,Gold (USD),632.2
2006-04-21,GOLD-CHF,Gold (CHF),806.59
2006-04-24,GOLD-USD,Gold (USD),620.6
2006-04-24,GOLD-CHF,Gold (CHF),788.97
2006-04-25,GOLD-USD,Gold (USD),631.0
2006-04-25,GOLD-CHF,Gold (CHF),800.9
2006-04-26,GOLD-USD,Gold (USD),638.8
2006-04-26,GOLD-CHF,Gold (CHF),810.99
2006-04-27,GOLD-USD,Gold (USD),633.3
2006-04-27,GOLD-CHF,Gold (CHF),797.86
2006-04-28,GOLD-USD,Gold (USD),651.8
2006-04-28,GOLD-CHF,Gold (CHF),810.68
2006-05-01,GOLD-USD,Gold (USD),657.5
2006-05-01,GOLD-CHF,Gold (CHF),812.93
2006-05-02,GOLD-USD,Gold (USD),664.7
2006-05-02,GOLD-CHF,Gold (CHF),821.34
2006-05-03,GOLD-USD,Gold (USD),665.9
2006-05-03,GOLD-CHF,Gold (CHF),824.42
2006-05-04,GOLD-USD,Gold (USD),674.2
2006-05-04,GOLD-CHF,Gold (CHF),829.27
2006-05-05,GOLD-USD,Gold (USD),682.2
2006-05-05,GOLD-CHF,Gold (CHF),835.46
2006-05-08,GOLD-USD,Gold (USD),677.8
2006-05-08,GOLD-CHF,Gold (CHF),832.44
2006-05-09,GOLD-USD,Gold (USD),699.4
2006-05-09,GOLD-CHF,Gold (CHF),853.86
2006-05-10,GOLD-USD,Gold (USD),703.7
2006-05-10,GOLD-CHF,Gold (CHF),857.99
2006-05-11,GOLD-USD,Gold (USD),719.8
2006-05-11,GOLD-CHF,Gold (CHF),874.49
2006-05-12,GOLD-USD,Gold (USD),710.3
2006-05-12,GOLD-CHF,Gold (CHF),854.38
2006-05-15,GOLD-USD,Gold (USD),683.6
2006-05-15,GOLD-CHF,Gold (CHF),826.06
2006-05-16,GOLD-USD,Gold (USD),691.5
2006-05-16,GOLD-CHF,Gold (CHF),835.54
2006-05-17,GOLD-USD,Gold (USD),690.5
2006-05-17,GOLD-CHF,Gold (CHF),837.23
2006-05-18,GOLD-USD,Gold (USD),679.6
2006-05-18,GOLD-CHF,Gold (CHF),822.55
2006-05-19,GOLD-USD,Gold (USD),656.7
2006-05-19,GOLD-CHF,Gold (CHF),803.31
2006-05-22,GOLD-USD,Gold (USD),657.0
2006-05-22,GOLD-CHF,Gold (CHF),794.21
2006-05-23,GOLD-USD,Gold (USD),673.0
2006-05-23,GOLD-CHF,Gold (CHF),813.22
2006-05-24,GOLD-USD,Gold (USD),637.0
2006-05-24,GOLD-CHF,Gold (CHF),775.87
2006-05-25,GOLD-USD,Gold (USD),648.4
2006-05-25,GOLD-CHF,Gold (CHF),789.75
