date,ticker,name,price
2006-02-17,LOGN-CH,Logitech International S.A.,25.17
2006-02-17,UBSG-CH,UBS Group AG,62.34
2006-02-17,SREN-CH,Swiss Re AG,65.11
2006-02-17,CFR-CH,Compagnie Financiere Richemont SA,30.14
2006-02-17,SLHN-CH,Swiss Life Holding AG,213.48
2006-02-17,LONN-CH,Lonza Group AG,76.19
2006-02-17,KNIN-CH,Kuehne & Nagel International AG,75.1
2006-02-17,SIKA-CH,Sika AG,20.25
2006-02-17,NESN-CH,Nestle S.A.,39.0
2006-02-17,HOLN-CH,Holcim Ltd,40.28
2006-02-17,ROG-CH,Roche Holding Ltd Dividend Right Cert.,190.8
2006-02-17,ABBN-CH,ABB Ltd.,14.28
2006-02-17,NOVN-CH,Novartis AG,59.86
2006-02-17,ZURN-CH,Zurich Insurance Group Ltd,309.98
2006-02-17,GIVN-CH,Givaudan SA,904.44
2006-02-17,GEBN-CH,Geberit AG,118.9
2006-02-17,SCMN-CH,Swisscom AG,401.5
2006-02-20,LOGN-CH,Logitech International S.A.,25.67
2006-02-20,UBSG-CH,UBS Group AG,63.276478
2006-02-20,SREN-CH,Swiss Re AG,64.83796
2006-02-20,CFR-CH,Compagnie Financiere Richemont SA,30.036802
2006-02-20,SLHN-CH,Swiss Life Holding AG,213.4761
2006-02-20,LONN-CH,Lonza Group AG,76.0021
2006-02-20,KNIN-CH,Kuehne & Nagel International AG,74.6
2006-02-20,SIKA-CH,Sika AG,20.333738
2006-02-20,NESN-CH,Nestle S.A.,39.0
2006-02-20,HOLN-CH,Holcim Ltd,40.530415
2006-02-20,ROG-CH,Roche Holding Ltd Dividend Right Cert.,192.1
2006-02-20,ABBN-CH,ABB Ltd.,14.331978
2006-02-20,NOVN-CH,Novartis AG,59.90551
2006-02-20,ZURN-CH,Zurich Insurance Group Ltd,316.4201
2006-02-20,GIVN-CH,Givaudan SA,903.96106
2006-02-20,GEBN-CH,Geberit AG,119.9
2006-02-20,SCMN-CH,Swisscom AG,399.5
2006-02-21,LOGN-CH,Logitech International S.A.,25.53
2006-02-21,UBSG-CH,UBS Group AG,63.58775
2006-02-21,SREN-CH,Swiss Re AG,65.31273
2006-02-21,CFR-CH,Compagnie Financiere Richemont SA,29.85381
2006-02-21,SLHN-CH,Swiss Life Holding AG,211.66844
2006-02-21,LONN-CH,Lonza Group AG,76.46524
2006-02-21,KNIN-CH,Kuehne & Nagel International AG,76.0
2006-02-21,SIKA-CH,Sika AG,20.317072
2006-02-21,NESN-CH,Nestle S.A.,39.8
2006-02-21,HOLN-CH,Holcim Ltd,40.901497
2006-02-21,ROG-CH,Roche Holding Ltd Dividend Right Cert.,193.4
2006-02-21,ABBN-CH,ABB Ltd.,14.525001
2006-02-21,NOVN-CH,Novartis AG,59.69605
2006-02-21,ZURN-CH,Zurich Insurance Group Ltd,313.69446
2006-02-21,GIVN-CH,Givaudan SA,902.0419
2006-02-21,GEBN-CH,Geberit AG,119.200005
2006-02-21,SCMN-CH,Swisscom AG,398.25
2006-02-22,LOGN-CH,Logitech International S.A.,25.21
2006-02-22,UBSG-CH,UBS Group AG,64.07689
2006-02-22,SREN-CH,Swiss Re AG,65.17707
2006-02-22,CFR-CH,Compagnie Financiere Richemont SA,30.167511
2006-02-22,SLHN-CH,Swiss Life Holding AG,212.61533
2006-02-22,LONN-CH,Lonza Group AG,76.789444
2006-02-22,KNIN-CH,Kuehne & Nagel International AG,78.950005
2006-02-22,SIKA-CH,Sika AG,20.417074
2006-02-22,NESN-CH,Nestle S.A.,39.95
2006-02-22,HOLN-CH,Holcim Ltd,41.891052
2006-02-22,ROG-CH,Roche Holding Ltd Dividend Right Cert.,194.9
2006-02-22,ABBN-CH,ABB Ltd.,14.862791
2006-02-22,NOVN-CH,Novartis AG,59.528484
2006-02-22,ZURN-CH,Zurich Insurance Group Ltd,317.16345
2006-02-22,GIVN-CH,Givaudan SA,902.0419
2006-02-22,GEBN-CH,Geberit AG,119.700005
2006-02-22,SCMN-CH,Swisscom AG,397.0
2006-02-23,LOGN-CH,Logitech International S.A.,25.21
2006-02-23,UBSG-CH,UBS Group AG,63.76561
2006-02-23,SREN-CH,Swiss Re AG,64.53277
2006-02-23,CFR-CH,Compagnie Financiere Richemont SA,30.376642
2006-02-23,SLHN-CH,Swiss Life Holding AG,214.16475
2006-02-23,LONN-CH,Lonza Group AG,76.55787
2006-02-23,KNIN-CH,Kuehne & Nagel International AG,78.6
